,start_time,end_time,sensor_id,no_of_cars,start_date,time
127,2018-09-21 10:35:00,2018-09-21 10:40:00,SENSITY-kc-14,5.0,2018-09-21,10:35:00
128,2018-09-21 10:40:00,2018-09-21 10:45:00,SENSITY-kc-14,5.0,2018-09-21,10:40:00
129,2018-09-21 10:45:00,2018-09-21 10:50:00,SENSITY-kc-14,5.0,2018-09-21,10:45:00
130,2018-09-21 10:50:00,2018-09-21 10:55:00,SENSITY-kc-14,5.0,2018-09-21,10:50:00
131,2018-09-21 10:55:00,2018-09-21 11:00:00,SENSITY-kc-14,5.0,2018-09-21,10:55:00
132,2018-09-21 11:00:00,2018-09-21 11:05:00,SENSITY-kc-14,5.0,2018-09-21,11:00:00
133,2018-09-21 11:05:00,2018-09-21 11:10:00,SENSITY-kc-14,5.0,2018-09-21,11:05:00
134,2018-09-21 11:10:00,2018-09-21 11:15:00,SENSITY-kc-14,5.0,2018-09-21,11:10:00
135,2018-09-21 11:15:00,2018-09-21 11:20:00,SENSITY-kc-14,5.0,2018-09-21,11:15:00
136,2018-09-21 11:20:00,2018-09-21 11:25:00,SENSITY-kc-14,5.0,2018-09-21,11:20:00
137,2018-09-21 11:25:00,2018-09-21 11:30:00,SENSITY-kc-14,5.0,2018-09-21,11:25:00
138,2018-09-21 11:30:00,2018-09-21 11:35:00,SENSITY-kc-14,5.0,2018-09-21,11:30:00
139,2018-09-21 11:35:00,2018-09-21 11:40:00,SENSITY-kc-14,5.0,2018-09-21,11:35:00
140,2018-09-21 11:40:00,2018-09-21 11:45:00,SENSITY-kc-14,5.0,2018-09-21,11:40:00
141,2018-09-21 11:45:00,2018-09-21 11:50:00,SENSITY-kc-14,5.0,2018-09-21,11:45:00
142,2018-09-21 11:50:00,2018-09-21 11:55:00,SENSITY-kc-14,5.0,2018-09-21,11:50:00
143,2018-09-21 11:55:00,2018-09-21 12:00:00,SENSITY-kc-14,5.0,2018-09-21,11:55:00
144,2018-09-21 12:00:00,2018-09-21 12:05:00,SENSITY-kc-14,5.0,2018-09-21,12:00:00
145,2018-09-21 12:05:00,2018-09-21 12:10:00,SENSITY-kc-14,4.0,2018-09-21,12:05:00
146,2018-09-21 12:10:00,2018-09-21 12:15:00,SENSITY-kc-14,4.0,2018-09-21,12:10:00
147,2018-09-21 12:15:00,2018-09-21 12:20:00,SENSITY-kc-14,4.0,2018-09-21,12:15:00
148,2018-09-21 12:20:00,2018-09-21 12:25:00,SENSITY-kc-14,4.0,2018-09-21,12:20:00
149,2018-09-21 12:25:00,2018-09-21 12:30:00,SENSITY-kc-14,4.0,2018-09-21,12:25:00
150,2018-09-21 12:30:00,2018-09-21 12:35:00,SENSITY-kc-14,4.0,2018-09-21,12:30:00
151,2018-09-21 12:35:00,2018-09-21 12:40:00,SENSITY-kc-14,4.0,2018-09-21,12:35:00
152,2018-09-21 12:40:00,2018-09-21 12:45:00,SENSITY-kc-14,4.0,2018-09-21,12:40:00
153,2018-09-21 12:45:00,2018-09-21 12:50:00,SENSITY-kc-14,4.0,2018-09-21,12:45:00
154,2018-09-21 12:50:00,2018-09-21 12:55:00,SENSITY-kc-14,4.0,2018-09-21,12:50:00
155,2018-09-21 12:55:00,2018-09-21 13:00:00,SENSITY-kc-14,4.0,2018-09-21,12:55:00
156,2018-09-21 13:00:00,2018-09-21 13:05:00,SENSITY-kc-14,4.0,2018-09-21,13:00:00
157,2018-09-21 13:05:00,2018-09-21 13:10:00,SENSITY-kc-14,4.0,2018-09-21,13:05:00
158,2018-09-21 13:10:00,2018-09-21 13:15:00,SENSITY-kc-14,4.0,2018-09-21,13:10:00
159,2018-09-21 13:15:00,2018-09-21 13:20:00,SENSITY-kc-14,4.0,2018-09-21,13:15:00
160,2018-09-21 13:20:00,2018-09-21 13:25:00,SENSITY-kc-14,4.0,2018-09-21,13:20:00
161,2018-09-21 13:25:00,2018-09-21 13:30:00,SENSITY-kc-14,4.0,2018-09-21,13:25:00
162,2018-09-21 13:30:00,2018-09-21 13:35:00,SENSITY-kc-14,4.0,2018-09-21,13:30:00
163,2018-09-21 13:35:00,2018-09-21 13:40:00,SENSITY-kc-14,4.0,2018-09-21,13:35:00
164,2018-09-21 13:40:00,2018-09-21 13:45:00,SENSITY-kc-14,4.0,2018-09-21,13:40:00
165,2018-09-21 13:45:00,2018-09-21 13:50:00,SENSITY-kc-14,3.0,2018-09-21,13:45:00
166,2018-09-21 13:50:00,2018-09-21 13:55:00,SENSITY-kc-14,3.0,2018-09-21,13:50:00
167,2018-09-21 13:55:00,2018-09-21 14:00:00,SENSITY-kc-14,3.0,2018-09-21,13:55:00
168,2018-09-21 14:00:00,2018-09-21 14:05:00,SENSITY-kc-14,3.0,2018-09-21,14:00:00
169,2018-09-21 14:05:00,2018-09-21 14:10:00,SENSITY-kc-14,3.0,2018-09-21,14:05:00
170,2018-09-21 14:10:00,2018-09-21 14:15:00,SENSITY-kc-14,3.0,2018-09-21,14:10:00
171,2018-09-21 14:15:00,2018-09-21 14:20:00,SENSITY-kc-14,3.0,2018-09-21,14:15:00
172,2018-09-21 14:20:00,2018-09-21 14:25:00,SENSITY-kc-14,3.0,2018-09-21,14:20:00
173,2018-09-21 14:25:00,2018-09-21 14:30:00,SENSITY-kc-14,3.0,2018-09-21,14:25:00
174,2018-09-21 14:30:00,2018-09-21 14:35:00,SENSITY-kc-14,3.0,2018-09-21,14:30:00
175,2018-09-21 14:35:00,2018-09-21 14:40:00,SENSITY-kc-14,3.0,2018-09-21,14:35:00
176,2018-09-21 14:40:00,2018-09-21 14:45:00,SENSITY-kc-14,3.0,2018-09-21,14:40:00
177,2018-09-21 14:45:00,2018-09-21 14:50:00,SENSITY-kc-14,3.0,2018-09-21,14:45:00
178,2018-09-21 14:50:00,2018-09-21 14:55:00,SENSITY-kc-14,3.0,2018-09-21,14:50:00
179,2018-09-21 14:55:00,2018-09-21 15:00:00,SENSITY-kc-14,3.0,2018-09-21,14:55:00
180,2018-09-21 15:00:00,2018-09-21 15:05:00,SENSITY-kc-14,3.0,2018-09-21,15:00:00
181,2018-09-21 15:05:00,2018-09-21 15:10:00,SENSITY-kc-14,2.0,2018-09-21,15:05:00
182,2018-09-21 15:10:00,2018-09-21 15:15:00,SENSITY-kc-14,2.0,2018-09-21,15:10:00
183,2018-09-21 15:15:00,2018-09-21 15:20:00,SENSITY-kc-14,2.0,2018-09-21,15:15:00
184,2018-09-21 15:20:00,2018-09-21 15:25:00,SENSITY-kc-14,2.0,2018-09-21,15:20:00
185,2018-09-21 15:25:00,2018-09-21 15:30:00,SENSITY-kc-14,2.0,2018-09-21,15:25:00
186,2018-09-21 15:30:00,2018-09-21 15:35:00,SENSITY-kc-14,2.0,2018-09-21,15:30:00
187,2018-09-21 15:35:00,2018-09-21 15:40:00,SENSITY-kc-14,2.0,2018-09-21,15:35:00
188,2018-09-21 15:40:00,2018-09-21 15:45:00,SENSITY-kc-14,2.0,2018-09-21,15:40:00
189,2018-09-21 15:45:00,2018-09-21 15:50:00,SENSITY-kc-14,1.0,2018-09-21,15:45:00
190,2018-09-21 15:50:00,2018-09-21 15:55:00,SENSITY-kc-14,1.0,2018-09-21,15:50:00
191,2018-09-21 15:55:00,2018-09-21 16:00:00,SENSITY-kc-14,1.0,2018-09-21,15:55:00
192,2018-09-21 16:00:00,2018-09-21 16:05:00,SENSITY-kc-14,1.0,2018-09-21,16:00:00
193,2018-09-21 16:05:00,2018-09-21 16:10:00,SENSITY-kc-14,1.0,2018-09-21,16:05:00
194,2018-09-21 16:10:00,2018-09-21 16:15:00,SENSITY-kc-14,1.0,2018-09-21,16:10:00
195,2018-09-21 16:15:00,2018-09-21 16:20:00,SENSITY-kc-14,1.0,2018-09-21,16:15:00
196,2018-09-21 16:20:00,2018-09-21 16:25:00,SENSITY-kc-14,1.0,2018-09-21,16:20:00
197,2018-09-21 16:25:00,2018-09-21 16:30:00,SENSITY-kc-14,1.0,2018-09-21,16:25:00
198,2018-09-21 16:30:00,2018-09-21 16:35:00,SENSITY-kc-14,1.0,2018-09-21,16:30:00
199,2018-09-21 16:35:00,2018-09-21 16:40:00,SENSITY-kc-14,1.0,2018-09-21,16:35:00
200,2018-09-21 16:40:00,2018-09-21 16:45:00,SENSITY-kc-14,1.0,2018-09-21,16:40:00
201,2018-09-21 16:45:00,2018-09-21 16:50:00,SENSITY-kc-14,1.0,2018-09-21,16:45:00
202,2018-09-21 16:50:00,2018-09-21 16:55:00,SENSITY-kc-14,1.0,2018-09-21,16:50:00
203,2018-09-21 16:55:00,2018-09-21 17:00:00,SENSITY-kc-14,1.0,2018-09-21,16:55:00
204,2018-09-21 17:00:00,2018-09-21 17:05:00,SENSITY-kc-14,1.0,2018-09-21,17:00:00
205,2018-09-21 17:05:00,0,0,0.0,0,0
206,2018-09-21 17:10:00,0,0,0.0,0,0
207,2018-09-21 17:15:00,0,0,0.0,0,0
208,2018-09-21 17:20:00,0,0,0.0,0,0
209,2018-09-21 17:25:00,0,0,0.0,0,0
210,2018-09-21 17:30:00,2018-09-21 17:35:00,SENSITY-kc-14,1.0,2018-09-21,17:30:00
211,2018-09-21 17:35:00,2018-09-21 17:40:00,SENSITY-kc-14,1.0,2018-09-21,17:35:00
212,2018-09-21 17:40:00,2018-09-21 17:45:00,SENSITY-kc-14,1.0,2018-09-21,17:40:00
213,2018-09-21 17:45:00,2018-09-21 17:50:00,SENSITY-kc-14,1.0,2018-09-21,17:45:00
214,2018-09-21 17:50:00,2018-09-21 17:55:00,SENSITY-kc-14,2.0,2018-09-21,17:50:00
215,2018-09-21 17:55:00,2018-09-21 18:00:00,SENSITY-kc-14,2.0,2018-09-21,17:55:00
216,2018-09-21 18:00:00,2018-09-21 18:05:00,SENSITY-kc-14,2.0,2018-09-21,18:00:00
217,2018-09-21 18:05:00,2018-09-21 18:10:00,SENSITY-kc-14,2.0,2018-09-21,18:05:00
218,2018-09-21 18:10:00,2018-09-21 18:15:00,SENSITY-kc-14,2.0,2018-09-21,18:10:00
219,2018-09-21 18:15:00,2018-09-21 18:20:00,SENSITY-kc-14,2.0,2018-09-21,18:15:00
220,2018-09-21 18:20:00,2018-09-21 18:25:00,SENSITY-kc-14,4.0,2018-09-21,18:20:00
221,2018-09-21 18:25:00,2018-09-21 18:30:00,SENSITY-kc-14,6.0,2018-09-21,18:25:00
222,2018-09-21 18:30:00,2018-09-21 18:35:00,SENSITY-kc-14,5.0,2018-09-21,18:30:00
223,2018-09-21 18:35:00,2018-09-21 18:40:00,SENSITY-kc-14,5.0,2018-09-21,18:35:00
224,2018-09-21 18:40:00,2018-09-21 18:45:00,SENSITY-kc-14,6.0,2018-09-21,18:40:00
225,2018-09-21 18:45:00,2018-09-21 18:50:00,SENSITY-kc-14,3.0,2018-09-21,18:45:00
226,2018-09-21 18:50:00,2018-09-21 18:55:00,SENSITY-kc-14,3.0,2018-09-21,18:50:00
227,2018-09-21 18:55:00,2018-09-21 19:00:00,SENSITY-kc-14,2.0,2018-09-21,18:55:00
228,2018-09-21 19:00:00,2018-09-21 19:05:00,SENSITY-kc-14,1.0,2018-09-21,19:00:00
229,2018-09-21 19:05:00,2018-09-21 19:10:00,SENSITY-kc-14,1.0,2018-09-21,19:05:00
230,2018-09-21 19:10:00,2018-09-21 19:15:00,SENSITY-kc-14,1.0,2018-09-21,19:10:00
231,2018-09-21 19:15:00,0,0,0.0,0,0
232,2018-09-21 19:20:00,2018-09-21 19:25:00,SENSITY-kc-14,4.0,2018-09-21,19:20:00
233,2018-09-21 19:25:00,2018-09-21 19:30:00,SENSITY-kc-14,7.0,2018-09-21,19:25:00
234,2018-09-21 19:30:00,2018-09-21 19:35:00,SENSITY-kc-14,2.0,2018-09-21,19:30:00
235,2018-09-21 19:35:00,2018-09-21 19:40:00,SENSITY-kc-14,4.0,2018-09-21,19:35:00
236,2018-09-21 19:40:00,2018-09-21 19:45:00,SENSITY-kc-14,4.0,2018-09-21,19:40:00
237,2018-09-21 19:45:00,2018-09-21 19:50:00,SENSITY-kc-14,3.0,2018-09-21,19:45:00
238,2018-09-21 19:50:00,2018-09-21 19:55:00,SENSITY-kc-14,3.0,2018-09-21,19:50:00
239,2018-09-21 19:55:00,2018-09-21 20:00:00,SENSITY-kc-14,2.0,2018-09-21,19:55:00
240,2018-09-21 20:00:00,2018-09-21 20:05:00,SENSITY-kc-14,2.0,2018-09-21,20:00:00
241,2018-09-21 20:05:00,2018-09-21 20:10:00,SENSITY-kc-14,2.0,2018-09-21,20:05:00
242,2018-09-21 20:10:00,2018-09-21 20:15:00,SENSITY-kc-14,4.0,2018-09-21,20:10:00
243,2018-09-21 20:15:00,2018-09-21 20:20:00,SENSITY-kc-14,1.0,2018-09-21,20:15:00
244,2018-09-21 20:20:00,2018-09-21 20:25:00,SENSITY-kc-14,1.0,2018-09-21,20:20:00
245,2018-09-21 20:25:00,0,0,0.0,0,0
246,2018-09-21 20:30:00,0,0,0.0,0,0
247,2018-09-21 20:35:00,2018-09-21 20:40:00,SENSITY-kc-14,1.0,2018-09-21,20:35:00
248,2018-09-21 20:40:00,2018-09-21 20:45:00,SENSITY-kc-14,4.0,2018-09-21,20:40:00
249,2018-09-21 20:45:00,2018-09-21 20:50:00,SENSITY-kc-14,4.0,2018-09-21,20:45:00
250,2018-09-21 20:50:00,2018-09-21 20:55:00,SENSITY-kc-14,4.0,2018-09-21,20:50:00
251,2018-09-21 20:55:00,2018-09-21 21:00:00,SENSITY-kc-14,2.0,2018-09-21,20:55:00
252,2018-09-21 21:00:00,2018-09-21 21:05:00,SENSITY-kc-14,6.0,2018-09-21,21:00:00
253,2018-09-21 21:05:00,2018-09-21 21:10:00,SENSITY-kc-14,5.0,2018-09-21,21:05:00
254,2018-09-21 21:10:00,2018-09-21 21:15:00,SENSITY-kc-14,2.0,2018-09-21,21:10:00
